issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
CWABS Asset-Backed Certificates Trust 2006-26,Below Investment Grade,218.0,Bond - Asset Backed,Asset Backed,Developed
Energy Transfer LP,Investment Grade,113.0,Bond - Corporate Bond,Corporate Bond,Developed
Cwalt Incorporation,Below Investment Grade,627.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"GLP Capital L.P. and GLP Financing II, Inc.",Investment Grade,181.0,Bond - Corporate Bond,Corporate Bond,Developed
Fnma Pass-Thru I,,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Saxon Asset Securities Trust,Below Investment Grade,476.0,Bond - Asset Backed,Asset Backed,Developed
Structured Asset Securities Corp.,Investment Grade,130.0,Bond - Asset Backed,Asset Backed,Developed
Residential Accredit Loans Inc,Below Investment Grade,1106.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Conseco Financial Secs Corp,Below Investment Grade,367.0,Bond - Asset Backed,Asset Backed,Developed
Residential Asset Securities Corp.,Below Investment Grade,289.0,Bond - Asset Backed,Asset Backed,Developed
Morgan Stanley Capital I Inc,Investment Grade,221.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Deutsche Alt-A Secs Mtg Ln Tr,Below Investment Grade,4392.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Csmc 2017-Rpl3 Tr,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Park Place Securities Inc.,Below Investment Grade,286.0,Bond - Asset Backed,Asset Backed,Developed
Option One Mortgage Loan Trust,Below Investment Grade,927.0,Bond - Asset Backed,Asset Backed,Developed
RALI Series Trust,Below Investment Grade,482.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Chaseflex Trust,Below Investment Grade,163.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Saxon Asset Securities Trust,Below Investment Grade,473.0,Bond - Asset Backed,Asset Backed,Developed
Wells Fargo Home Equity Asset-Backed Securities 2006-2 Trust,Investment Grade,134.0,Bond - Asset Backed,Asset Backed,Developed
Ameriquest Mortgage Securities,Below Investment Grade,542.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Asset Backed Funding Corp,Below Investment Grade,201.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Standard Chartered PLC,Investment Grade,197.0,Bond - Corporate Bond,Corporate Bond,Developed
Indymac MBS Inc,Below Investment Grade,767.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,525.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Cwalt Incorporation,Below Investment Grade,738.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Indymac MBS Inc,Below Investment Grade,550.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Morgan Stanley ABS Capital I Inc. Trust 2004-NC1,Below Investment Grade,633.0,Bond - Asset Backed,Asset Backed,Developed
Structured Asset Mortgage Investments Inc,Below Investment Grade,138.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,67.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Equifirst Mtg Ln T,Below Investment Grade,527.0,Bond - Asset Backed,Asset Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,261.0,Bond - Asset Backed,Asset Backed,Developed
Homebanc Mtg Trust,Investment Grade,177.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CVS Health Corp,Investment Grade,206.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Accredited Mortgage Loan Trust,Below Investment Grade,972.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wells Fargo Home Equity Asset Backed Securities 2005-3 Trust,Below Investment Grade,151.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
U.S. Renal Care Inc.,Below Investment Grade,1482.0,Bond - Corporate Bond,Corporate Bond,Developed
CWMBS Inc,Below Investment Grade,324.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,166.0,Bond - Asset Backed,Asset Backed,Developed
Abfc 2006-Opt3 Tr,Below Investment Grade,678.0,Bond - Asset Backed,Asset Backed,Developed
Nomura Resecuritization Trust 2015-8r,,,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
GSAA Home Equity Trust,Investment Grade,85.0,Bond - Asset Backed,Asset Backed,Developed
Ameriquest Mortgage Securities,Below Investment Grade,574.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
RMAC Securities No. 1 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Impac CMB Trust,Below Investment Grade,526.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
GSAA Home Equity Trust,Below Investment Grade,3399.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Long Beach Mortgage Loan Trust,Below Investment Grade,1012.0,Bond - Asset Backed,Asset Backed,Developed
Harborview Mtg Loan Trust,Below Investment Grade,1286.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Argent Secs Inc,Below Investment Grade,2405.0,Bond - Asset Backed,Asset Backed,Developed
Park Place Securities Inc.,Below Investment Grade,434.0,Bond - Asset Backed,Asset Backed,Developed
Countrywide Alternative loan Trust,Below Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Morgan Stanley ABS Capital I Inc,Investment Grade,113.0,Bond - Asset Backed,Asset Backed,Developed
Park Place Securities Inc.,Below Investment Grade,551.0,Bond - Asset Backed,Asset Backed,Developed
Soundview Home Eqt,Below Investment Grade,182.0,Bond - Asset Backed,Asset Backed,Developed
C-Bass,Below Investment Grade,433.0,Bond - Asset Backed,Asset Backed,Developed
Wamu Wmalt 07-0c1,Below Investment Grade,487.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Nomura Home Equity,Below Investment Grade,185.0,Bond - Asset Backed,Asset Backed,Developed
EPR Properties,Investment Grade,243.0,Bond - Corporate Bond,Corporate Bond,Developed
RBSSP Resecuritization Trust,,,Bond - Asset Backed,Asset Backed,Developed
Bcap Llc Trust,,1983.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Alternative Loan Trust,Below Investment Grade,297.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Carrington Mtg Ln,Below Investment Grade,213.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Bond - Non-Agency Residential MBS,,
Cwalt Incorporation,Below Investment Grade,554.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr A/Bkd 06-Nc3,Below Investment Grade,764.0,Bond - Asset Backed,Asset Backed,Developed
Alba 2007 - 1 plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"Charter Communications Operating, LLC/Charter Communications Operating Capital Corp.",Investment Grade,252.0,Bond - Corporate Bond,Corporate Bond,Developed
JP Morgan Mortgage Trust,Below Investment Grade,677.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CHL Mortgage Pass-Through Trust,Below Investment Grade,373.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
Ownit Mtg Loan Tr,Below Investment Grade,734.0,Bond - Asset Backed,Asset Backed,Developed
CSMC 2021-RPL5 TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Park Place Securities Inc.,Below Investment Grade,642.0,Bond - Asset Backed,Asset Backed,Developed
Harborview Mtg Loan Trust,Below Investment Grade,2993.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Galaxy Xv Clo Ltd/Galaxy Xv Clo Llc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Bear Stearns Asset Backed Securities I Trust,Below Investment Grade,152.0,Bond - Asset Backed,Asset Backed,Developed
United States Treasury Bonds,Investment Grade,7.0,Bond - Gov't/Treasury,Government,Developed
Home Equity Asset Trust,Below Investment Grade,233.0,Bond - Asset Backed,Asset Backed,Developed
HSI Asset Securitization Corporation Trust,Below Investment Grade,868.0,Bond - Asset Backed,Asset Backed,Developed
Park Place Securities Inc.,Below Investment Grade,543.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CHL MrtgPass Tst,,2212.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Gsamp 2006-He6,Below Investment Grade,468.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Bond - Gov't/Treasury,,
Carrngtn Mtg Fre2,Below Investment Grade,508.0,Bond - Asset Backed,Asset Backed,Developed
Washington Mut Pas,Below Investment Grade,459.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
First Franklin Mortgage Loan Trust,Below Investment Grade,266.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CVS Health Corp,Investment Grade,219.0,Bond - Corporate Bond,Corporate Bond,Developed
Alternative Loan Trust,Below Investment Grade,2540.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWABS Asset-Backed Certificates Trust 2007-10,Below Investment Grade,232.0,Bond - Asset Backed,Asset Backed,Developed
Bayview Financial Revolving Mtg Ln,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Alternative Loan Trust,Below Investment Grade,1827.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
J.P. MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES TRUST 2023-CCDC,,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
J P Morgan Mtg Acquisition Tr,Below Investment Grade,310.0,Bond - Asset Backed,Asset Backed,Developed
Fremont Home Loan Trust 2006-A,Below Investment Grade,1202.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Indymac MBS Inc,Below Investment Grade,944.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Greenpoint Mtg Ar4,Below Investment Grade,235.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
BX Trust 2022-IND,,364.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
United States Treasury Bills,Investment Grade,-25.0,Bond - Short-term Government Bills,Government,Developed
Long Beach Mortgage Loan Trust 2006-6,Below Investment Grade,681.0,Bond - Asset Backed,Asset Backed,Developed
Bcap Llc Trust,Below Investment Grade,568.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,143.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,377.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Option One Mortgage Loan Trust,Investment Grade,333.0,Bond - Asset Backed,Asset Backed,Developed
1ST Horizon Mtg,Below Investment Grade,337.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
JP  MORGAN MORTGAGE TRUST,Below Investment Grade,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
CHL Mortgage Pass-Through Trust,Below Investment Grade,115.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
GS Mortgage Securities Corp,Below Investment Grade,180.0,Bond - Asset Backed,Asset Backed,Developed
"Carlyle Global Market Strategies CLO 2012-2, Ltd.",Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
MASTR Asset Backed Securities Trust,Below Investment Grade,695.0,Bond - Asset Backed,Asset Backed,Developed
ACE Securities Corp Home Equity Loan Trust Series 2007-SL2,Below Investment Grade,2062.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Bond - Non-Agency Residential MBS,,
Ludgate Funding PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Morgan Stanley Re Remic Trust,,1975.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Securitized Asset Backed Receivables Llc Trust,Below Investment Grade,1118.0,Bond - Asset Backed,Asset Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,250.0,Bond - Asset Backed,Asset Backed,Developed
Nationstar Home Equity Loan Trust 2007-a,Below Investment Grade,92.0,Bond - Asset Backed,Asset Backed,Developed
Gnma Pass-Thru M Single Family,Investment Grade,18.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
DBJPM 2020-C9,Investment Grade,737.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
CARVANA AUTO RECEIVABLES TRUST 2023-P4,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Park Place Securities Inc.,Below Investment Grade,392.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,195.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CWMBS Inc,Below Investment Grade,542.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWMBS Inc,Below Investment Grade,-493.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,361.0,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Asset Backed,,
ACE Securities Corp Home Equity Loan Trust Series 2007-SL2,Below Investment Grade,1119.0,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,21.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
ROMARK CLO I LTD,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Gsamp Tr 2007-Fm2,Below Investment Grade,-374.0,Bond - Asset Backed,Asset Backed,Developed
Option One Mortgage Loan Trust,Below Investment Grade,899.0,Bond - Asset Backed,Asset Backed,Developed
"Residential Asset Mortgage Products, Inc.",Investment Grade,196.0,Bond - Asset Backed,Asset Backed,Developed
Indymac MBS Inc,Below Investment Grade,664.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Morgan Stanley ML,Below Investment Grade,1675.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
